MemoryType;BlockSize;ElementType;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read)
RAM;2700742.21;int;31;chrono();5e-07;0.009012294;299673114;0.009011794;99.994452;1e-07;0.006457718;418219286;0.006457618;99.9984515
RAM;2700742.24;int;32;chrono();0.0001843;0.009012294;299673118;0.008827994;97.9550157;0.0001483;0.006457718;418219290;0.006309418;97.7035231
RAM;134199642;int;33;chrono();0.0020381;0.009012294;1.48907306e+10;0.006974194;77.3853361;0.0014673;0.006457718;2.07812794e+10;0.004990418;77.2783513
RAM;8192.00012;int;34;chrono();0.0034426;0.009012294;908980.568;0.005569694;61.8010686;0.0030973;0.006457718;1268559.59;0.003360418;52.0372367
RAM;2.0980835e-05;int;35;chrono();0.0342779;0.009012294;0.0023280238;0.025265606;280.346003;0.0209825;0.006457718;0.00324895497;0.014524782;224.92128
RAM;-1.37977934e+11;int;36;chrono();4e-07;0.009012294;-1.53099681e+13;0.009011894;99.9955616;1e-07;0.006457718;-2.1366361e+13;0.006457618;99.9984515
RAM;4.97041939e+12;int;37;chrono();0.0001798;0.009012294;5.51515451e+14;0.008832494;98.0049475;0.0001483;0.006457718;7.69686659e+14;0.006309418;97.7035231
RAM;6.35318189e+12;int;38;chrono();0.0020541;0.009012294;7.04946142e+14;0.006958194;77.2078008;0.001766;0.006457718;9.83812221e+14;0.004691718;72.6528783
RAM;-1.38243787e+11;int;39;chrono();0.0058342;0.009012294;-1.53394671e+13;0.003178094;35.263985;0.0094809;0.006457718;-2.14075293e+13;0.003023182;46.8150204
RAM;2700742.25;int;40;chrono();0.0330438;0.009012294;299673119;0.024031506;266.652486;0.0227192;0.006457718;418219292;0.016261482;251.814681
RAM;0;int;41;chrono();5e-07;0.009012294;0;0.009011794;99.994452;1e-07;0.006457718;0;0.006457618;99.9984515
RAM;-7.90273878e+12;int;42;chrono();0.000179;0.009012294;-8.76884262e+14;0.008833294;98.0138242;0.0001526;0.006457718;-1.22376647e+15;0.006305118;97.6369361
RAM;2700742.21;int;43;chrono();0.0012893;0.009012294;299673115;0.007722994;85.6939865;0.0009813;0.006457718;418219286;0.005476418;84.8042296
RAM;2700742.21;int;44;chrono();0.0051421;0.009012294;299673115;0.003870194;42.9434947;0.0036476;0.006457718;418219286;0.002810118;43.5156506
RAM;134199642;int;45;chrono();0.0467728;0.009012294;1.48907306e+10;0.037760506;418.988839;0.0705505;0.006457718;2.07812794e+10;0.064092782;992.498929
RAM;8192.00012;int;46;chrono();4e-07;0.009012294;908980.568;0.009011894;99.9955616;1e-07;0.006457718;1268559.59;0.006457618;99.9984515
RAM;2.95639038e-05;int;47;chrono();0.0001791;0.009012294;0.00328039718;0.008833194;98.0127146;0.0001494;0.006457718;0.00457807291;0.006308318;97.6864893
RAM;-1.37977934e+11;int;48;chrono();0.0021346;0.009012294;-1.53099681e+13;0.006877694;76.3145765;0.0010508;0.006457718;-2.1366361e+13;0.005406918;83.727998
RAM;5.72580097e+12;int;49;chrono();0.0056716;0.009012294;6.35332244e+14;0.003340694;37.0681871;0.0039175;0.006457718;8.86660113e+14;0.002540218;39.3361556
RAM;4.21049012e+12;int;50;chrono();0.048251;0.009012294;4.67194048e+14;0.039238706;435.390878;0.0323228;0.006457718;6.52008979e+14;0.025865082;400.529754
MemoryType;BlockSize;ElementType;LaunchNum;Timer;WriteTime;AverageWriteTime;WriteBandwidth;AbsError(write);RelError(write);ReadTime;AverageReadTime;ReadBandwidth;AbsError(read);RelError(read);
RAM;6.10351562e-05;int;1;chrono();4e-07;0.0046675;0.0130766269;0.0046671;9.99914301;1e-07;0.003783;0.0161340619;0.0037829;9.99973566
RAM;0.3125;int;2;chrono();0.0001892;0.0046675;66.9523299;0.0044783;9.59464381;0.0001742;0.003783;82.606397;0.0036088;9.5395189
RAM;2;int;3;chrono();0.0011831;0.0046675;428.494912;0.0034844;7.46523835;0.0009836;0.003783;528.680941;0.0027994;7.39994713
RAM;6;int;4;chrono();0.0034281;0.0046675;1285.48473;0.0012394;2.65538297;0.0029237;0.003783;1586.04282;0.0008593;2.27147766
RAM;30;int;5;chrono();0.0185367;0.0046675;6427.42367;0.0138692;29.7144081;0.0148334;0.003783;7930.21412;0.0110504;29.2106794
SSD;4;int;1;chrono();0.0027526;0.28568773;14.0013014;0.28293513;9.90365004;0.0097578;0.04648345;86.0521325;0.03672565;7.90080125
SSD;8;int;2;chrono();0.0093054;0.28568773;28.0026027;0.27638233;9.67428073;0.0066716;0.04648345;172.104265;0.03981185;8.56473648
SSD;12;int;3;chrono();0.0099254;0.28568773;42.0039041;0.27576233;9.65257871;0.0187002;0.04648345;258.156398;0.02778325;5.97701978
SSD;16;int;4;chrono();0.0124288;0.28568773;56.0052054;0.27325893;9.56495156;0.0197158;0.04648345;344.20853;0.02676765;5.75853341
SSD;20;int;5;chrono();0.1138622;0.28568773;70.0065068;0.17182553;6.01445256;0.0476461;0.04648345;430.260663;0.00116265;0.25012128
SSD;24;int;6;chrono();0.0802222;0.28568773;84.0078081;0.20546553;7.19196201;0.0445571;0.04648345;516.312795;0.00192635;0.414416314
SSD;28;int;7;chrono();0.0918708;0.28568773;98.0091095;0.19381693;6.78422311;0.0149762;0.04648345;602.364928;0.03150725;6.77816513
SSD;32;int;8;chrono();0.1192081;0.28568773;112.010411;0.16647963;5.82732867;0.0268146;0.04648345;688.41706;0.01966885;4.23136622
SSD;36;int;9;chrono();0.1324492;0.28568773;126.011712;0.15323853;5.36384709;0.0304562;0.04648345;774.469193;0.01602725;3.4479476
SSD;40;int;10;chrono();0.181726;0.28568773;140.013014;0.10396173;3.63899878;0.0234365;0.04648345;860.521325;0.02304695;4.95809799
SSD;44;int;11;chrono();0.1781498;0.28568773;154.014315;0.10753793;3.76417741;0.0267788;0.04648345;946.573458;0.01970465;4.23906788
SSD;48;int;12;chrono();0.2723549;0.28568773;168.015616;0.01333283;0.466692427;0.0332522;0.04648345;1032.62559;0.01323125;2.8464432
SSD;52;int;13;chrono();0.3821609;0.28568773;182.016918;0.09647317;3.37687481;0.108066;0.04648345;1118.67772;0.06158255;13.2482744
SSD;56;int;14;chrono();0.3706778;0.28568773;196.018219;0.08499007;2.97492895;0.066534;0.04648345;1204.72986;0.02005055;4.31348146
SSD;60;int;15;chrono();0.3270373;0.28568773;210.01952;0.04134957;1.44736948;0.0536631;0.04648345;1290.78199;0.00717965;1.54456048
SSD;64;int;16;chrono();0.501367;0.28568773;224.020822;0.21567927;7.54947614;0.106102;0.04648345;1376.83412;0.05961855;12.8257584
SSD;68;int;17;chrono();0.4676162;0.28568773;238.022123;0.18192847;6.36808833;0.1403947;0.04648345;1462.88625;0.09391125;20.2031583
SSD;72;int;18;chrono();0.3942884;0.28568773;252.023424;0.10860067;3.80137677;0.0805459;0.04648345;1548.93839;0.03406245;7.32786615
SSD;76;int;19;chrono();1.2314844;0.28568773;266.024726;0.94579667;33.1059605;0.0342514;0.04648345;1634.99052;0.01223205;2.63148497
SSD;80;int;20;chrono();0.8348672;0.28568773;280.026027;0.54917947;19.2230681;0.0373488;0.04648345;1721.04265;0.00913465;1.96514028
flash;4;int;1;chrono();0.3955561;8.29398959;0.48227695;7.89843348;9.52308103;0.0023936;0.22744683;17.5865278;0.22505323;9.89476222
flash;8;int;2;chrono();1.8315706;8.29398959;0.9645539;6.46241899;7.79168929;0.003491;0.22744683;35.1730556;0.22395583;9.84651358
flash;12;int;3;chrono();2.2106276;8.29398959;1.44683085;6.08336198;7.33466316;0.0303086;0.22744683;52.7595834;0.19713823;8.66744241
flash;16;int;4;chrono();2.5873079;8.29398959;1.9291078;5.70668169;6.88050259;0.0140023;0.22744683;70.3461112;0.21344453;9.3843704
flash;20;int;5;chrono();5.0203536;8.29398959;2.41138475;3.27363599;3.94699795;0.0101494;0.22744683;87.932639;0.21729743;9.55376824
flash;24;int;6;chrono();4.3888977;8.29398959;2.8936617;3.90509189;4.70833951;0.0105573;0.22744683;105.519167;0.21688953;9.53583438
flash;28;int;7;chrono();6.8410816;8.29398959;3.37593865;1.45290799;1.75176008;0.0141156;0.22744683;123.105695;0.21333123;9.37938902
flash;32;int;8;chrono();6.1986161;8.29398959;3.8582156;2.09537349;2.52637583;0.0102016;0.22744683;140.692222;0.21724523;9.55147319
flash;36;int;9;chrono();7.6326744;8.29398959;4.34049255;0.661315185;0.797342676;0.0304086;0.22744683;158.27875;0.19703823;8.66304578
flash;40;int;10;chrono();8.0109379;8.29398959;4.8227695;0.283051685;0.341273258;0.0187516;0.22744683;175.865278;0.20869523;9.17556116
flash;44;int;11;chrono();8.3400585;8.29398959;5.30504645;0.046068915;0.0555449395;0.0323799;0.22744683;193.451806;0.19506693;8.57637497
flash;48;int;12;chrono();9.8427893;8.29398959;5.7873234;1.54879971;1.86737601;0.0197852;0.22744683;211.038334;0.20766163;9.13011758
flash;52;int;13;chrono();10.1671939;8.29398959;6.26960035;1.87320431;2.25850816;0.0209804;0.22744683;228.624861;0.20646643;9.07756903
flash;56;int;14;chrono();10.561424;8.29398959;6.7518773;2.26743442;2.73382838;0.035548;0.22744683;246.211389;0.19189883;8.43708527
flash;60;int;15;chrono();12.0290572;8.29398959;7.23415425;3.73506762;4.50334254;0.0204521;0.22744683;263.797917;0.20699473;9.10079644
flash;64;int;16;chrono();12.3963836;8.29398959;7.7164312;4.10239401;4.94622518;0.0252009;0.22744683;281.384445;0.20224593;8.89200918
flash;68;int;17;chrono();12.7585791;8.29398959;8.19870815;4.46458952;5.38292154;1.1079346;0.22744683;298.970973;0.88048777;38.7118066
flash;72;int;18;chrono();15.1789917;8.29398959;8.6809851;6.88500211;8.30119455;2.4852103;0.22744683;316.5575;2.25776347;99.2655501
flash;76;int;19;chrono();14.4960453;8.29398959;9.16326205;6.20205572;7.47777128;0.0388532;0.22744683;334.144028;0.18859363;8.29176779
flash;80;int;20;chrono();14.9916456;8.29398959;9.645539;6.69765601;8.07531279;0.6182124;0.22744683;351.730556;0.39076557;17.1805239
